City,State/Region,Country,Zip Code,MMI,Responses,Distance,Latitude,Longitude
Sakaka,al-Jawf,Saudi Arabia,,I,1,1467 km,29.97,40.2
Şuwayr,al-Jawf,Saudi Arabia,,III,1,1463 km,30.12,40.39
Kosovo Polje,Kosovo and Metohija,Serbia and Montenegro,,I,1,844 km,42.63,21.12
Ankara,Ankara,Turkey,,IV,108,188 km,39.93,32.85
Ayaş,Ankara,Turkey,,IV,10,147 km,40.02,32.35
Kazan,Ankara,Turkey,,IV,1,159 km,40.23,32.68
Kızılcahamam,Ankara,Turkey,,IV,1,147 km,40.47,32.65
Polatlı,Ankara,Turkey,,IV,1,169 km,39.6,32.15
Çubuk,Ankara,Turkey,,IV,1,185 km,40.25,33.03
Antalya,Antalya,Turkey,,II,2,438 km,36.89,30.71
Erdek,Balıkesir,Turkey,,I,1,273 km,40.4,27.8
Gönen,Balıkesir,Turkey,,III,1,294 km,40.11,27.65
Amasra,Bartın,Turkey,,III,1,155 km,41.75,32.39
Bartın,Bartın,Turkey,,IV,3,145 km,41.65,32.34
Bozüyük,Bilecik,Turkey,,IV,4,130 km,39.92,30.03
Akçakoca,Bolu,Turkey,,VII,3,33 km,41.09,31.15
Bolu,Bolu,Turkey,,V,14,54 km,40.75,31.61
Bursa,Bursa,Turkey,,IV,18,176 km,40.2,29.08
Gemlik,Bursa,Turkey,,IV,5,161 km,40.43,29.15
Kestel,Bursa,Turkey,,IV,1,167 km,40.2,29.2
Mudanya,Bursa,Turkey,,II,6,185 km,40.38,28.88
Yenişehir,Bursa,Turkey,,III,1,128 km,40.27,29.66
İnegöl,Bursa,Turkey,,III,3,149 km,40.09,29.52
İznik,Bursa,Turkey,,IV,1,115 km,40.43,29.73
Diyarbakır,Diyarbakır,Turkey,,V,1,860 km,37.92,40.23
Düzce,Düzce,Turkey,,VII,20,17 km,40.85,31.15
Edirne,Edirne,Turkey,,I,1,382 km,41.69,26.56
Eskişehir,Eskişehir,Turkey,,IV,20,123 km,39.79,30.52
Safranbolu,Karabük,Turkey,,IV,3,151 km,41.26,32.69
Kastamonu,Kastamonu,Turkey,,II,1,243 km,41.39,33.78
Kayseri,Kayseri,Turkey,,III,1,450 km,38.74,35.48
Talas,Kayseri,Turkey,,II,1,460 km,38.69,35.58
İncesu,Kayseri,Turkey,,III,28,190 km,39.92,32.88
Gebze,Kocaeli,Turkey,,IV,4,130 km,40.81,29.44
Gölcük,Kocaeli,Turkey,,IV,14,99 km,40.72,29.82
Kandıra,Kocaeli,Turkey,,III,1,75 km,41.07,30.15
Karamürsel,Kocaeli,Turkey,,V,1,117 km,40.69,29.61
Körfez,Kocaeli,Turkey,,IV,2,106 km,40.79,29.73
İzmit,Kocaeli,Turkey,,IV,14,89 km,40.77,29.93
Konya,Konya,Turkey,,I,1,352 km,37.88,32.48
Kütahya,Kütahya,Turkey,,IV,2,179 km,39.42,29.98
Tavşanlı,Kütahya,Turkey,,III,1,192 km,39.54,29.49
Kırıkkale,Kırıkkale,Turkey,,II,1,241 km,39.85,33.52
Turgutlu,Manisa,Turkey,,II,1,382 km,38.51,27.7
Marmaris,Muğla,Turkey,,III,1,500 km,36.86,28.26
Adapazarı,Sakarya,Turkey,,V,26,49 km,40.79,30.41
Akyazı,Sakarya,Turkey,,IV,1,35 km,40.69,30.63
Hendek,Sakarya,Turkey,,VI,3,22 km,40.81,30.75
Karasu,Sakarya,Turkey,,V,2,32 km,41.07,30.78
Kocaali,Sakarya,Turkey,,VI,3,28 km,41.05,30.85
Pamukova,Sakarya,Turkey,,VI,1,78 km,40.51,30.17
Sapanca,Sakarya,Turkey,,V,5,63 km,40.69,30.27
Söğütlü,Sakarya,Turkey,,III,2,44 km,40.9,30.48
Samsun,Samsun,Turkey,,II,1,452 km,41.29,36.33
Malkara,Tekirdağ,Turkey,,II,1,343 km,40.9,26.91
Tekirdağ,Tekirdağ,Turkey,,III,4,292 km,40.98,27.52
Çerkezköy,Tekirdağ,Turkey,,V,4,255 km,41.29,28
Çorlu,Tekirdağ,Turkey,,II,1,270 km,41.17,27.8
Yalova,Yalova,Turkey,,V,4,145 km,40.66,29.28
Yenifakılı,Yozgat,Turkey,,III,1,388 km,39.2,35
Alaplı,Zonguldak,Turkey,,IV,1,52 km,41.18,31.39
Devrek,Zonguldak,Turkey,,V,2,92 km,41.23,31.95
Ereğli,Zonguldak,Turkey,,V,4,64 km,41.3,31.42
Zonguldak,Zonguldak,Turkey,,IV,10,98 km,41.46,31.8
Çankırı,Çankırı,Turkey,,IV,1,224 km,40.61,33.62
Çorum,Çorum,Turkey,,I,1,337 km,40.56,34.96
Ağva,İstanbul,Turkey,,IV,1,100 km,41.14,29.86
Büyükçekmece,İstanbul,Turkey,,IV,79,186 km,41,28.78
Esenyurt,İstanbul,Turkey,,IV,25,196 km,41.03,28.67
Gürpınar,İstanbul,Turkey,,III,3,202 km,41,28.59
Hadimköy,İstanbul,Turkey,,III,2,202 km,41.15,28.62
Kiraç,İstanbul,Turkey,,V,5,200 km,41.11,28.63
Mimarsinan,İstanbul,Turkey,,III,3,206 km,41.02,28.55
Muratbey,İstanbul,Turkey,,II,1,211 km,41.1,28.5
Sultanbeyli,İstanbul,Turkey,,IV,102,142 km,40.92,29.3
Yakuplu,İstanbul,Turkey,,IV,15,198 km,40.99,28.64
Çatalca,İstanbul,Turkey,,III,2,213 km,41.14,28.48
İstanbul,İstanbul,Turkey,,III,200,169 km,41.1,29
Şile,İstanbul,Turkey,,IV,1,121 km,41.19,29.62
İzmir,İzmir,Turkey,,II,4,423 km,38.43,27.15
Uzhhorod,Zakarpatsʿka,Ukraine,,III,1,1105 km,48.62,22.3
Clacton-on-Sea,England,United Kingdom,,II,1,2601 km,51.8,1.14
Westham,England,United Kingdom,,II,1,2669 km,51.53,0.02
Burgk,Thüringen,Germany,,III,1,1849 km,50.57,11.72
Folldal,Hedmark,Norway,,I,1,2779 km,62.13,10.05
Bucharest,Bukarest,Romania,,II,1,566 km,44.44,26.1
Constanţa,Constanţa,Romania,,III,1,418 km,44.18,28.63
Tunari,Ilfov,Romania,,III,1,572 km,44.55,26.15